Rank,Song,Artist,Year,UnprunedLyricalComplexity,TotalWords,TitleInLyrics,posSent,negSent,compoundSent,repetitiveness
76,red roses for a blue lady,vic dana,1965,92,203,True,0.164,0.038,0.9735,0.547
77,dont just stand there,patty duke,1965,86,198,True,0.162,0.097,0.9327,0.566
78,the tracks of my tears,the miracles,1965,79,179,True,0.237,0.028,0.9908,0.559
79,too many rivers,brenda lee,1965,64,133,True,0.164,0.06,0.9382,0.519
80,i like it like that,the dave clark five,1965,62,307,True,0.106,0.016,0.9769,0.798
81,little things,bobby goldsboro,1965,53,198,True,0.266,0.019,0.9955,0.732
82,true love ways,peter and gordon,1965,34,80,True,0.547,0.049,0.9955,0.575
83,its the same old song,four tops,1965,92,237,True,0.165,0.073,0.9814,0.612
84,youve got your troubles,the fortunes,1965,,,,,,,
85,hold what youve got,joe tex,1965,123,291,False,0.104,0.057,0.9406,0.577
86,we gotta get out of this place,the animals,1965,123,414,True,0.164,0.032,0.9942,0.703
87,laugh laugh,the beau brummels,1965,122,289,True,0.297,0.129,0.9973,0.578
88,the last time,the rolling stones,1965,69,173,True,0.211,0.109,0.9407,0.601
89,do you believe in magic,the lovin spoonful,1965,108,241,True,0.163,0.037,0.9844,0.552
90,all i really want to do,cher,1965,67,202,True,0.219,0.067,0.9827,0.668
91,take me back,little anthony and the imperials,1965,55,166,True,0.143,0.2,-0.8968,0.669
92,i want candy,the strangeloves,1965,70,125,True,0.168,0.108,-0.5465,0.44
93,ooo baby baby,the miracles,1965,60,113,True,0.074,0.243,-0.9703,0.469
94,laugh at me,sonny bono,1965,92,179,True,0.128,0.177,-0.7446,0.486
95,treat her right,roy head,1965,57,100,True,0.264,0.012,0.9821,0.43
96,the race is on,jack jones,1965,109,232,True,0.189,0.165,0.9218,0.53
97,im a fool,dino desi  billy,1965,,,,,,,
98,the boy from new york city,the ad libs,1965,90,238,True,0.234,0.008,0.9951,0.622
99,keep searchin well follow the sun,del shannon,1965,67,124,False,0.07,0.096,-0.6637,0.46
100,how sweet it is to be loved by you,marvin gaye,1965,88,258,True,0.387,0.073,0.9988,0.659
1,ballad of the green berets,ssgt barry sadler,1966,,,,,,,
2,cherish,the association,1966,109,317,True,0.153,0.025,0.9875,0.656
3,youre my soul and inspiration,the righteous brothers,1966,76,217,False,0.198,0.041,0.9912,0.65
4,reach out ill be there,the four tops,1966,95,249,False,0.233,0.11,0.9832,0.618
5,96 tears,  the mysterians,1966,79,213,True,0.039,0.395,-0.9988,0.629
6,last train to clarksville,the monkees,1966,73,228,True,0.028,0.3,-0.9953,0.68
7,monday monday,the mamas  the papas,1966,60,202,True,0.089,0.096,-0.1782,0.703
8,you cant hurry love,the supremes,1966,104,315,True,0.346,0.073,0.999,0.67
9,poor side of town,johnny rivers,1966,108,191,True,0.104,0.088,0.7594,0.435
10,california dreamin,the mamas  the papas,1966,59,119,True,0.127,0.023,0.8689,0.504
11,summer in the city,lovin spoonful,1966,88,281,True,0.064,0.086,-0.8195,0.687
12,born free,roger williams,1966,45,78,True,0.409,0.043,0.9888,0.423
13,these boots are made for walkin,nancy sinatra,1966,83,179,True,0.07,0.018,0.8248,0.536
14,what becomes of the brokenhearted,jimmy ruffin,1966,111,219,False,0.21,0.187,0.8116,0.493
15,strangers in the night,frank sinatra,1966,74,145,True,0.242,0.015,0.9895,0.49
16,we can work it out,the beatles,1966,82,240,True,0.076,0.109,-0.8126,0.658
17,good lovin,the young rascals,1966,62,184,True,0.543,0.026,0.9991,0.663
18,winchester cathedral,new vaudeville band,1966,53,75,True,0.0,0.0,0.0,0.293
19,hanky panky,tommy james and the shondells,1966,32,100,True,0.035,0.02,0.3535,0.68
20,when a man loves a woman,percy sledge,1966,105,187,True,0.268,0.101,0.9907,0.439
21,paint it black,the rolling stones,1966,111,242,False,0.091,0.072,0.6902,0.541
22,my love,petula clark,1966,84,271,True,0.351,0.017,0.9987,0.69
23,lightnin strikes,lou christie,1966,110,234,False,0.066,0.21,-0.9876,0.53
24,wild thing,the troggs,1966,26,88,True,0.155,0.0,0.936,0.705
25,kicks,paul revere  the raiders,1966,102,265,True,0.157,0.124,0.8959,0.615
26,sunshine superman,donovan,1966,113,235,False,0.106,0.056,0.9032,0.519
27,sunny,bobby hebb,1966,81,166,True,0.501,0.033,0.9987,0.512
28,paperback writer,the beatles,1966,87,209,True,0.078,0.038,0.7135,0.584
29,see you in september,the happenings,1966,65,202,True,0.1,0.155,-0.922,0.678
30,you keep me hangin on,the supremes,1966,96,279,True,0.151,0.067,0.9854,0.656
31,lil red riding hood,sam the sham and the pharaohs,1966,115,253,True,0.14,0.098,0.8271,0.545
32,devil with a blue dress ongood golly miss molly,mitch ryder  the detroit wheels,1966,,,,,,,
33,good vibrations,the beach boys,1966,78,307,True,0.398,0.0,0.9991,0.746
34,a groovy kind of love,the mindbenders,1966,68,169,True,0.177,0.056,0.9713,0.598
35,you dont have to say you love me,dusty springfield,1966,67,162,True,0.183,0.095,0.9697,0.586
